Score,Percentile
0,0.078
1,0.151
2,0.302
3,0.478
4,0.619
5,0.77
6,0.856
7,0.914
8,0.945
9,0.964
10,0.979
11,0.982
12,0.994
13,0.996
14,0.996
15,1
