Score,Percentile
0,0.03
1,0.06
2,0.09
3,0.13
4,0.2
5,0.3
6,0.38
7,0.48
8,0.55
9,0.63
10,0.72
11,0.78
12,0.83
13,0.87
14,0.9
15,0.93
16,0.94
17,0.95
18,0.97
19,0.98
20,0.99
21,0.99
22,0.99
23,1
